Memory;vCPUs;SSD Disk;Transfer;Price
1 GB;1 vCPU;25 GB;1 TB;$5/mo
2 GB;1 vCPU;50 GB;2 TB;$10/mo
3 GB;1 vCPU;60 GB;3 TB;$15/mo
2 GB;2 vCPUs;60 GB;3 TB;$15/mo
1 GB;3 vCPUs;60 GB;3 TB;$15/mo
4 GB;2 vCPUs;80 GB;4 TB;$20/mo
8 GB;4 vCPUs;160 GB;5 TB;$40/mo
16 GB;6 vCPUs;320 GB;6 TB;$80/mo
32 GB;8 vCPUs;640 GB;7 TB;$160/mo
48 GB;12 vCPUs;960 GB;8 TB;$240/mo
64 GB;16 vCPUs;1,280 GB;9 TB;$320/mo
96 GB;20 vCPUs;1,920 GB;10 TB;$480/mo
128 GB;24 vCPUs;2,560 GB;11 TB;$640/mo
192 GB;32 vCPUs;3,840 GB;12 TB;$960/mo
